656;0.00;0.00;0.00
1688;0.00;0.00;0.00
2689;0.00;0.00;0.00
3690;0.00;0.22;9.65
4691;0.00;0.53;9.64
5694;0.00;0.53;9.64
6696;0.00;1.36;9.69
7699;0.00;1.89;9.47
8700;0.00;2.92;9.36
9710;0.00;3.61;9.05
10739;0.00;4.33;8.80
11739;0.00;4.57;8.59
12740;0.00;4.72;8.36
13760;0.00;5.16;8.09
14762;0.00;5.30;8.15
15763;0.00;5.74;7.80
16768;0.00;5.74;7.80
17768;0.00;5.74;7.80
18769;0.00;6.14;7.49
19772;0.00;6.38;7.16
20776;0.00;6.79;7.08
21777;0.00;7.00;6.56
22778;0.00;7.34;6.33
23779;0.00;7.76;5.64
24785;0.00;8.05;5.37
25819;0.00;8.48;4.93
26845;0.00;8.72;4.18
27847;0.00;8.99;3.55
28847;0.00;9.42;2.58
29848;0.00;9.31;2.42
30848;0.00;9.43;1.92
31849;0.00;9.63;0.56
32850;0.00;9.63;0.45
33851;0.00;9.65;0.22
34851;0.00;9.65;0.22
36073;0.00;9.63;0.45
37074;0.00;9.61;0.75
38075;0.00;9.70;1.43
39076;0.00;9.39;2.83
40081;0.00;8.84;3.76
41086;0.00;8.40;4.80
42087;0.00;8.09;5.16
43089;0.00;7.38;6.46
44090;0.00;5.87;7.85
45092;0.00;4.10;8.68
46092;0.00;3.56;8.98
47092;0.00;3.27;9.24
48096;0.00;2.32;9.53
49104;0.00;1.43;9.70
50105;0.00;0.53;9.64
51106;0.00;-0.31;9.65
52106;0.00;-0.91;9.61
53106;0.00;-1.59;9.70
54107;0.00;-1.89;9.50
55107;0.00;-2.26;9.54
56108;0.00;-3.07;9.36
57110;0.00;-3.48;9.01
58114;0.00;-4.25;8.68
59124;0.00;-4.72;8.59
60125;0.00;-5.72;7.92
61126;0.00;-6.15;7.61
62127;0.00;-6.50;7.33
63128;0.00;-6.95;7.07
64128;0.00;-7.72;6.08
65128;0.00;-7.82;5.96
66130;0.00;-7.94;5.60
67132;0.00;-8.31;5.29
68132;0.00;-8.52;4.71
69133;0.00;-8.70;4.37
70134;0.00;-9.08;4.05
71143;0.00;-9.23;3.71
72143;0.00;-9.40;3.27
73144;0.00;-9.71;2.19
74144;0.00;-9.83;1.58
75145;0.00;-9.75;0.91
76145;0.00;-9.78;0.68
77146;0.00;-9.79;0.45
78146;0.00;-9.80;0.31
79146;0.00;-9.81;0.07
80147;0.00;-9.81;0.00
81148;0.00;-9.71;2.19
82148;0.00;-9.42;3.06
83153;0.00;-8.87;4.19
84154;0.00;-8.59;4.84
85154;0.00;-8.19;5.47
86155;0.00;-7.17;6.53
87155;0.00;-6.24;7.57
88156;0.00;-5.50;7.97
89156;0.00;-4.95;8.40
90162;0.00;-4.48;8.80
91163;0.00;-3.91;8.84
92164;0.00;-3.57;9.04
93165;0.00;-3.07;9.36
94166;0.00;-2.55;9.31
95172;0.00;-1.67;9.66
96173;0.00;-0.91;9.61
97489;0.00;-0.46;9.65
98489;0.00;-0.31;9.65
99490;0.00;-0.31;9.65
100492;0.00;-0.31;9.65
101499;0.00;-0.31;9.65
102505;0.00;-0.31;9.65
103505;0.00;-0.31;9.65
104506;0.00;-0.31;9.65
105506;0.00;-0.31;9.65
106511;0.00;-0.31;9.65
