70;-1788;-164;16520
174;-1512;-144;16468
276;-1488;-160;16576
379;-1480;-172;16608
482;-1492;-232;16448
585;-1292;-180;16448
689;-1468;-200;16556
793;-1460;-196;16400
898;-1460;-160;16528
1002;-1484;-180;16460
1106;-1564;-220;16604
1209;-1536;-184;16476
1312;-1508;-148;16580
1415;-1448;-216;16720
1517;-1484;-280;16592
1620;-1436;-240;16428
1723;-1460;-180;16516
1825;-1472;-216;16496
1930;-1520;-164;16480
2034;-1488;-228;16628
2138;-1556;-132;16532
2243;-1756;-180;16480
2347;-1532;-252;16516
2451;-1460;-228;16456
2556;-1484;-236;16508
2660;-1456;-216;16484
2764;-1764;-260;16560
2869;-1508;-208;16564
2973;-1284;-200;16544
3077;-1472;-164;16848
3181;-1368;-228;16612
3286;-1444;-364;15844
3390;-1416;-308;16292
3494;-1544;-176;16808
3599;-1616;-20;16428
3703;-1776;-216;16680
3807;-1928;-272;16312
3912;-2756;-692;16500
4016;-3484;-1204;16588
4120;-4880;-1200;15744
4225;-6032;-1048;15128
4329;-7240;-1436;14716
4432;-9120;-920;13476
4535;-10300;-832;12920
4637;-12580;-448;12724
4740;-11984;-152;10948
4843;-13292;-524;9860
4945;-13228;-356;9728
5048;-14156;-172;8268
5152;-14604;-360;7516
5257;-15300;-320;5848
5360;-15856;-416;5124
5462;-15452;-764;4100
5565;-15908;-372;2548
5668;-16668;-68;724
5770;-16440;-272;196
5873;-16220;-296;-2112
5976;-16304;-156;-2256
6080;-15328;-984;-2436
6185;-16140;-348;-2432
6288;-16156;-264;-2000
6390;-16216;-232;-1896
6493;-16224;-240;-2280
6596;-16196;-300;-2320
6698;-16172;-284;-2424
6801;-16144;-364;-2472
6904;-16152;-352;-2312
7009;-16140;-284;-2476
7111;-16180;-280;-2364
7214;-15904;-392;-2328
7317;-16180;-312;-2700
7420;-16148;-328;-2516
7522;-16148;-268;-2556
7625;-16180;-192;-2700
7728;-16160;-280;-2752
7831;-16164;-236;-2396
7933;-16220;-276;-2404
8036;-16224;-328;-2252
8139;-16332;-280;-2064
8242;-16132;-316;-1392
8344;-16476;-152;-692
8447;-16308;-296;1736
8551;-15668;-320;4292
8654;-15448;-308;5752
8757;-14960;-288;6764
8860;-13988;-272;8736
8962;-13368;-508;9464
9065;-12768;-184;10644
9168;-12024;-144;11892
9271;-9932;-20;13500
9375;-9172;-204;14172
9478;-8360;-188;13824
9580;-7040;-240;15124
9683;-6252;-196;15612
9786;-5452;-108;15556
9888;-4576;-112;16028
9991;-3604;-172;16392
10094;-3716;-112;16112
10197;-3128;-184;16480
10299;-2544;-48;16632
10402;-2088;-256;16412
10505;-1656;-32;16556
10608;-1500;-56;16492
10710;-1324;-76;16512
10813;-1400;12;16400
10916;-1348;-140;16720
11019;-1304;-224;16244
11122;-1608;-128;16472
11225;-1600;-168;16532
11328;-1484;-176;16472
11430;-1580;-144;16500
11533;-1548;-160;16552
11636;-1536;-108;16512
11738;-1512;-152;16888
11841;-1752;-100;16492
11944;-1480;-176;16404
12047;-1496;-80;16580
12149;-1124;-124;16756
12252;-1572;-140;16328
12356;-1412;-96;16460
12461;-1444;-96;16312
